tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
D6A-1005a_LP-DIR-AF-16	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.7	-34.9 	 3.000e-02	0	0.00	0.00	15	273	This study	hargrave 2026-07-22 20:12:26	LT-AF-Z:LP-DIR-AF	g	15	u	8	273			pmagpy-4.4.0	8.11e-06	3.24e-08	4.09e-08	2.48e-08
D6A-1005a_LP-DIR-AF-17	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.5	-35.3 	 3.500e-02	0	0.00	0.00	16	273	This study	hargrave 2026-07-22 20:14:01	LT-AF-Z:LP-DIR-AF	g	16	u	8	273			pmagpy-4.4.0	7.51e-06	3.12e-08	3.83e-08	2.19e-08
D6A-1005a_LP-DIR-AF-18	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.1	-34.5 	 4.000e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-22 20:15:36	LT-AF-Z:LP-DIR-AF	g	17	u	8	273			pmagpy-4.4.0	7.00e-06	2.93e-08	3.69e-08	2.07e-08
D6A-1005a_LP-DIR-AF-19	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.3	-35.2 	 4.500e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-22 20:17:10	LT-AF-Z:LP-DIR-AF	g	18	u	8	273			pmagpy-4.4.0	6.68e-06	2.71e-08	3.53e-08	1.91e-08
D6A-1005a_LP-DIR-AF-20	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	111.4	-35.2 	 5.000e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-22 20:19:41	LT-AF-Z:LP-DIR-AF	g	19	u	8	273			pmagpy-4.4.0	6.35e-06	2.56e-08	3.59e-08	1.51e-08
D6A-1005a_LP-DIR-AF-21	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.3	-35.2 	 5.500e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-22 20:21:16	LT-AF-Z:LP-DIR-AF	g	20	u	8	273			pmagpy-4.4.0	6.08e-06	2.53e-08	3.37e-08	1.63e-08
D6A-1005a_LP-DIR-AF-22	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.8	-34.9 	 6.000e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-22 20:22:51	LT-AF-Z:LP-DIR-AF	g	21	u	8	273			pmagpy-4.4.0	5.99e-06	2.44e-08	3.11e-08	1.78e-08
D6A-1005a_LP-DIR-AF-23	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.5	-35.6 	 6.500e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-22 20:24:26	LT-AF-Z:LP-DIR-AF	g	22	u	8	273			pmagpy-4.4.0	5.72e-06	2.56e-08	3.15e-08	1.37e-08
D6A-1005a_LP-DIR-AF-24	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	110.9	-35.6 	 7.000e-02	0	0.00	0.00	23	273	This study	hargrave 2026-07-22 20:26:00	LT-AF-Z:LP-DIR-AF	g	23	u	8	273			pmagpy-4.4.0	5.45e-06	2.35e-08	2.90e-08	1.40e-08
D6A-1005a_LP-DIR-AF-25	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	112.3	-36.1 	 7.500e-02	0	0.00	0.00	24	273	This study	hargrave 2026-07-22 20:27:35	LT-AF-Z:LP-DIR-AF	g	24	u	8	273			pmagpy-4.4.0	5.36e-06	2.29e-08	3.12e-08	1.33e-08
D6A-1005a_LP-DIR-AF-26	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	112.2	-34.8 	 8.000e-02	0	0.00	0.00	25	273	This study	hargrave 2026-07-22 20:29:10	LT-AF-Z:LP-DIR-AF	g	25	u	8	273			pmagpy-4.4.0	5.13e-06	2.13e-08	2.69e-08	1.22e-08
D6A-1005a_LP-DIR-AF-27	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	112.3	-35.0 	 8.500e-02	0	0.00	0.00	26	273	This study	hargrave 2026-07-22 20:30:45	LT-AF-Z:LP-DIR-AF	g	26	u	8	273			pmagpy-4.4.0	5.04e-06	2.09e-08	2.59e-08	1.21e-08
D6A-1005a_LP-DIR-AF-28	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	112.7	-35.2 	 9.000e-02	0	0.00	0.00	27	273	This study	hargrave 2026-07-22 20:32:20	LT-AF-Z:LP-DIR-AF	g	27	u	8	273			pmagpy-4.4.0	4.77e-06	2.01e-08	2.66e-08	1.18e-08
D6A-1005a_LP-DIR-AF-29	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	112.6	-36.2 	 9.500e-02	0	0.00	0.00	28	273	This study	hargrave 2026-07-22 20:34:51	LT-AF-Z:LP-DIR-AF	g	28	u	8	273			pmagpy-4.4.0	4.71e-06	1.89e-08	2.70e-08	1.08e-08
D6A-1005a_LP-DIR-AF-30	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	112.1	-35.3 	 1.000e-01	0	0.00	0.00	29	273	This study	hargrave 2026-07-22 20:36:27	LT-AF-Z:LP-DIR-AF	g	29	u	8	273			pmagpy-4.4.0	4.47e-06	1.81e-08	2.34e-08	1.02e-08
D6A-1005a_LP-DIR-AF-31	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	112.9	-35.5 	 1.050e-01	0	0.00	0.00	30	273	This study	hargrave 2026-07-22 20:38:02	LT-AF-Z:LP-DIR-AF	g	30	u	8	273			pmagpy-4.4.0	4.32e-06	1.81e-08	2.32e-08	9.82e-09
D6A-1005a_LP-DIR-AF-32	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	112.4	-35.5 	 1.100e-01	0	0.00	0.00	31	273	This study	hargrave 2026-07-22 20:39:38	LT-AF-Z:LP-DIR-AF	g	31	u	8	273			pmagpy-4.4.0	4.11e-06	1.71e-08	2.21e-08	8.42e-09
D6A-1005a_LP-DIR-AF-33	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	114.2	-34.8 	 1.150e-01	0	0.00	0.00	32	273	This study	hargrave 2026-07-22 20:41:13	LT-AF-Z:LP-DIR-AF	g	32	u	8	273			pmagpy-4.4.0	3.87e-06	1.54e-08	1.89e-08	8.55e-09
D6A-1005a_LP-DIR-AF-34	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	113.4	-35.9 	 1.200e-01	0	0.00	0.00	33	273	This study	hargrave 2026-07-22 20:42:50	LT-AF-Z:LP-DIR-AF	g	33	u	8	273			pmagpy-4.4.0	3.81e-06	1.59e-08	1.98e-08	9.53e-09
D6A-1005a_LP-DIR-AF-35	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	113.7	-34.7 	 1.250e-01	0	0.00	0.00	34	273	This study	hargrave 2026-07-22 20:44:26	LT-AF-Z:LP-DIR-AF	g	34	u	8	273			pmagpy-4.4.0	3.55e-06	1.48e-08	1.81e-08	8.69e-09
D6A-1005a_LP-DIR-AF-36	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	115.6	-35.1 	 1.300e-01	0	0.00	0.00	35	273	This study	hargrave 2026-07-22 20:46:03	LT-AF-Z:LP-DIR-AF	g	35	u	8	273			pmagpy-4.4.0	3.31e-06	1.30e-08	1.95e-08	6.56e-09
D6A-1025a_LP-DIR-AF-37	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.4	173.1	 19.4 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-22 18:14:08	LT-NO:LP-DIR-AF	g	36	u	8	273			pmagpy-4.4.0	2.70e-05	1.15e-07	9.26e-08	2.09e-07
D6A-1025a_LP-DIR-AF-38	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.4	171.9	 22.5 	 1.000e-03	0	0.00	0.00	1	273	This study	hargrave 2026-07-22 18:15:54	LT-AF-Z:LP-DIR-AF	g	37	u	8	273			pmagpy-4.4.0	2.55e-05	1.07e-07	7.87e-08	1.94e-07
D6A-1025a_LP-DIR-AF-39	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.4	169.0	 28.4 	 2.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-22 18:17:40	LT-AF-Z:LP-DIR-AF	g	38	u	8	273			pmagpy-4.4.0	2.17e-05	1.01e-07	9.25e-08	1.56e-07
D6A-1025a_LP-DIR-AF-40	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.4	164.9	 36.2 	 3.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-22 18:21:29	LT-AF-Z:LP-DIR-AF	g	39	u	8	273			pmagpy-4.4.0	1.81e-05	9.68e-08	8.81e-08	1.26e-07
D6A-1025a_LP-DIR-AF-41	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.4	159.0	 45.1 	 4.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-22 18:25:06	LT-AF-Z:LP-DIR-AF	g	40	u	8	273			pmagpy-4.4.0	1.53e-05	9.27e-08	9.38e-08	9.95e-08
D6A-1025a_LP-DIR-AF-42	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.4	154.8	 49.5 	 5.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-22 18:28:43	LT-AF-Z:LP-DIR-AF	g	41	u	8	273			pmagpy-4.4.0	1.41e-05	8.82e-08	9.97e-08	8.82e-08
D6A-1025a_LP-DIR-AF-43	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.4	149.3	 53.8 	 7.500e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-22 18:32:21	LT-AF-Z:LP-DIR-AF	g	42	u	8	273			pmagpy-4.4.0	1.25e-05	8.59e-08	9.62e-08	7.60e-08
D6A-1025a_LP-DIR-AF-44	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.5	147.3	 54.6 	 1.000e-02	0	0.00	0.00	7	273	This study	hargrave 2026-07-22 18:35:59	LT-AF-Z:LP-DIR-AF	g	43	u	8	273			pmagpy-4.4.0	1.16e-05	8.63e-08	9.79e-08	7.18e-08
D6A-1025a_LP-DIR-AF-45	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.5	146.2	 54.4 	 1.250e-02	0	0.00	0.00	8	273	This study	hargrave 2026-07-22 18:39:47	LT-AF-Z:LP-DIR-AF	g	44	u	8	273			pmagpy-4.4.0	1.10e-05	8.57e-08	9.62e-08	6.96e-08
D6A-1025a_LP-DIR-AF-46	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.5	145.4	 54.3 	 1.500e-02	0	0.00	0.00	9	273	This study	hargrave 2026-07-22 18:43:13	LT-AF-Z:LP-DIR-AF	g	45	u	8	273			pmagpy-4.4.0	1.05e-05	8.55e-08	9.53e-08	6.78e-08
D6A-1025a_LP-DIR-AF-47	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.5	144.5	 54.0 	 1.750e-02	0	0.00	0.00	10	273	This study	hargrave 2026-07-22 18:47:08	LT-AF-Z:LP-DIR-AF	g	46	u	8	273			pmagpy-4.4.0	1.01e-05	8.49e-08	9.23e-08	6.71e-08
D6A-1025a_LP-DIR-AF-48	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	143.1	 54.4 	 2.000e-02	0	0.00	0.00	11	273	This study	hargrave 2026-07-22 18:51:07	LT-AF-Z:LP-DIR-AF	g	47	u	8	273			pmagpy-4.4.0	9.69e-06	8.55e-08	9.21e-08	6.53e-08
D6A-1025a_LP-DIR-AF-49	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	143.2	 54.6 	 2.250e-02	0	0.00	0.00	12	273	This study	hargrave 2026-07-22 18:54:44	LT-AF-Z:LP-DIR-AF	g	48	u	8	273			pmagpy-4.4.0	9.33e-06	8.35e-08	9.05e-08	6.44e-08
D6A-1025a_LP-DIR-AF-50	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	142.2	 54.7 	 2.500e-02	0	0.00	0.00	13	273	This study	hargrave 2026-07-22 18:58:33	LT-AF-Z:LP-DIR-AF	g	49	u	8	273			pmagpy-4.4.0	9.03e-06	8.29e-08	8.85e-08	6.21e-08
D6A-1025a_LP-DIR-AF-51	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	141.1	 54.4 	 2.750e-02	0	0.00	0.00	14	273	This study	hargrave 2026-07-22 19:01:59	LT-AF-Z:LP-DIR-AF	g	50	u	8	273			pmagpy-4.4.0	8.76e-06	8.19e-08	8.95e-08	6.30e-08
D6A-1025a_LP-DIR-AF-52	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	140.5	 54.5 	 3.000e-02	0	0.00	0.00	15	273	This study	hargrave 2026-07-22 19:05:36	LT-AF-Z:LP-DIR-AF	g	51	u	8	273			pmagpy-4.4.0	8.52e-06	8.07e-08	8.83e-08	6.12e-08
D6A-1025a_LP-DIR-AF-53	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	139.5	 54.8 	 3.500e-02	0	0.00	0.00	16	273	This study	hargrave 2026-07-22 19:09:19	LT-AF-Z:LP-DIR-AF	g	52	u	8	273			pmagpy-4.4.0	8.13e-06	7.91e-08	8.52e-08	5.95e-08
D6A-1025a_LP-DIR-AF-54	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	139.1	 54.6 	 4.000e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-22 19:12:45	LT-AF-Z:LP-DIR-AF	g	53	u	8	273			pmagpy-4.4.0	7.80e-06	7.72e-08	8.09e-08	5.75e-08
D6A-1025a_LP-DIR-AF-55	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	138.6	 54.5 	 4.500e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-22 19:16:44	LT-AF-Z:LP-DIR-AF	g	54	u	8	273			pmagpy-4.4.0	7.50e-06	7.12e-08	7.86e-08	5.54e-08
D6A-1025a_LP-DIR-AF-56	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	138.4	 54.6 	 5.000e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-22 19:19:15	LT-AF-Z:LP-DIR-AF	g	55	u	8	273			pmagpy-4.4.0	7.21e-06	7.23e-08	7.74e-08	5.35e-08
D6A-1025a_LP-DIR-AF-57	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	137.5	 54.3 	 5.500e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-22 19:21:01	LT-AF-Z:LP-DIR-AF	g	56	u	8	273			pmagpy-4.4.0	6.97e-06	7.07e-08	7.39e-08	5.02e-08
D6A-1025a_LP-DIR-AF-58	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.9	 54.0 	 6.000e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-22 19:23:32	LT-AF-Z:LP-DIR-AF	g	57	u	8	273			pmagpy-4.4.0	6.76e-06	6.78e-08	7.20e-08	5.08e-08
D6A-1025a_LP-DIR-AF-59	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.7	 54.3 	 6.500e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-22 19:25:06	LT-AF-Z:LP-DIR-AF	g	58	u	8	273			pmagpy-4.4.0	6.46e-06	6.46e-08	6.91e-08	4.89e-08
D6A-1025a_LP-DIR-AF-60	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	137.5	 54.1 	 7.000e-02	0	0.00	0.00	23	273	This study	hargrave 2026-07-22 19:27:37	LT-AF-Z:LP-DIR-AF	g	59	u	8	273			pmagpy-4.4.0	6.28e-06	6.43e-08	6.57e-08	4.72e-08
D6A-1025a_LP-DIR-AF-61	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	138.0	 54.6 	 7.500e-02	0	0.00	0.00	24	273	This study	hargrave 2026-07-22 19:29:12	LT-AF-Z:LP-DIR-AF	g	60	u	8	273			pmagpy-4.4.0	6.04e-06	6.15e-08	6.36e-08	4.63e-08
D6A-1025a_LP-DIR-AF-62	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.3	 53.8 	 8.000e-02	0	0.00	0.00	25	273	This study	hargrave 2026-07-22 19:30:47	LT-AF-Z:LP-DIR-AF	g	61	u	8	273			pmagpy-4.4.0	5.77e-06	5.89e-08	6.12e-08	4.45e-08
D6A-1025a_LP-DIR-AF-63	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	137.2	 53.9 	 8.500e-02	0	0.00	0.00	26	273	This study	hargrave 2026-07-22 19:32:22	LT-AF-Z:LP-DIR-AF	g	62	u	8	273			pmagpy-4.4.0	5.53e-06	5.57e-08	5.81e-08	4.27e-08
D6A-1025a_LP-DIR-AF-64	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.7	 53.9 	 9.000e-02	0	0.00	0.00	27	273	This study	hargrave 2026-07-22 19:34:09	LT-AF-Z:LP-DIR-AF	g	63	u	8	273			pmagpy-4.4.0	5.29e-06	5.67e-08	5.58e-08	4.13e-08
D6A-1025a_LP-DIR-AF-65	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	137.5	 54.1 	 9.500e-02	0	0.00	0.00	28	273	This study	hargrave 2026-07-22 19:35:44	LT-AF-Z:LP-DIR-AF	g	64	u	8	273			pmagpy-4.4.0	5.02e-06	5.26e-08	5.33e-08	3.93e-08
D6A-1025a_LP-DIR-AF-66	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.4	 52.5 	 1.000e-01	0	0.00	0.00	29	273	This study	hargrave 2026-07-22 19:37:20	LT-AF-Z:LP-DIR-AF	g	65	u	8	273			pmagpy-4.4.0	4.78e-06	4.99e-08	5.07e-08	3.82e-08
D6A-1025a_LP-DIR-AF-67	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.4	 53.8 	 1.050e-01	0	0.00	0.00	30	273	This study	hargrave 2026-07-22 19:38:56	LT-AF-Z:LP-DIR-AF	g	66	u	8	273			pmagpy-4.4.0	4.51e-06	4.24e-08	4.82e-08	3.61e-08
D6A-1025a_LP-DIR-AF-68	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	137.7	 54.2 	 1.100e-01	0	0.00	0.00	31	273	This study	hargrave 2026-07-22 19:40:32	LT-AF-Z:LP-DIR-AF	g	67	u	8	273			pmagpy-4.4.0	4.22e-06	4.46e-08	4.49e-08	3.36e-08
D6A-1025a_LP-DIR-AF-69	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.4	 53.2 	 1.150e-01	0	0.00	0.00	32	273	This study	hargrave 2026-07-22 19:42:08	LT-AF-Z:LP-DIR-AF	g	68	u	8	273			pmagpy-4.4.0	3.98e-06	4.19e-08	4.27e-08	3.19e-08
D6A-1025a_LP-DIR-AF-70	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	138.0	 53.5 	 1.200e-01	0	0.00	0.00	33	273	This study	hargrave 2026-07-22 19:43:46	LT-AF-Z:LP-DIR-AF	g	69	u	8	273			pmagpy-4.4.0	3.62e-06	3.93e-08	3.82e-08	2.99e-08
D6A-1025a_LP-DIR-AF-71	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	138.2	 53.4 	 1.250e-01	0	0.00	0.00	34	273	This study	hargrave 2026-07-22 19:45:23	LT-AF-Z:LP-DIR-AF	g	70	u	8	273			pmagpy-4.4.0	3.32e-06	3.64e-08	3.55e-08	2.65e-08
D6A-1025a_LP-DIR-AF-72	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	137.4	 52.4 	 1.300e-01	0	0.00	0.00	35	273	This study	hargrave 2026-07-22 19:47:00	LT-AF-Z:LP-DIR-AF	g	71	u	8	273			pmagpy-4.4.0	3.08e-06	3.40e-08	3.27e-08	2.50e-08
D6A-1050a_LP-DIR-AF-73	D6A-1050a	D6A-1050a_LP-DIR-AF	    0.4	067.7	 22.7 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-26 01:02:36	LT-NO:LP-DIR-AF	g	72	u	8	273			pmagpy-4.4.0	1.82e-05	1.14e-07	1.14e-07	8.33e-08
D6A-1050a_LP-DIR-AF-74	D6A-1050a	D6A-1050a_LP-DIR-AF	    0.3	066.5	 25.2 	 1.000e-03	0	0.00	0.00	1	273	This study	hargrave 2026-07-26 01:04:11	LT-AF-Z:LP-DIR-AF	g	73	u	8	273			pmagpy-4.4.0	1.67e-05	9.80e-08	1.03e-07	7.59e-08
D6A-1050a_LP-DIR-AF-75	D6A-1050a	D6A-1050a_LP-DIR-AF	    0.4	061.3	 31.5 	 2.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-26 01:05:46	LT-AF-Z:LP-DIR-AF	g	74	u	8	273			pmagpy-4.4.0	1.37e-05	8.34e-08	8.69e-08	6.33e-08
D6A-1050a_LP-DIR-AF-76	D6A-1050a	D6A-1050a_LP-DIR-AF	    0.4	052.6	 40.3 	 3.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-26 01:07:21	LT-AF-Z:LP-DIR-AF	g	75	u	8	273			pmagpy-4.4.0	1.09e-05	7.04e-08	7.38e-08	5.25e-08
D6A-1050a_LP-DIR-AF-77	D6A-1050a	D6A-1050a_LP-DIR-AF	    0.5	042.3	 48.3 	 4.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-26 01:08:56	LT-AF-Z:LP-DIR-AF	g	76	u	8	273			pmagpy-4.4.0	9.37e-06	6.56e-08	6.70e-08	4.71e-08
D6A-1050a_LP-DIR-AF-78	D6A-1050a	D6A-1050a_LP-DIR-AF	    0.5	036.8	 51.3 	 5.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-26 01:10:31	LT-AF-Z:LP-DIR-AF	g	77	u	8	273			pmagpy-4.4.0	8.86e-06	6.49e-08	6.43e-08	4.36e-08
D6A-1050a_LP-DIR-AF-79	D6A-1050a	D6A-1050a_LP-DIR-AF	    0.5	029.4	 54.2 	 7.500e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-26 01:12:06	LT-AF-Z:LP-DIR-AF	g	78	u	8	273			pmagpy-4.4.0	8.11e-06	6.38e-08	5.96e-08	3.85e-08
